"Variable.A","Variable.B","Mod_Mean","Mod_qtl_low","Mod_qtl_high","Mod_propLtZ"
"redis_f","redis_p",0.07,0.02,0.12,0.99
"family","sex",0.06,0.01,0.1,0.97
"edu","redis_m",0.05,0.01,0.1,0.96
"edupar","race",0.05,0,0.1,0.95
"edu","bribes",0.05,0.01,0.1,0.96
"family","connec",0.04,0,0.09,0.91
"ineq_p","merit",0.04,0,0.1,0.81
"redis_d","need",0.04,0,0.09,0.92
"edupar","redis_m",0.04,0,0.09,0.83
"prog_b","family",0.04,0,0.09,0.91
"sex","redis_m",0.04,0,0.08,0.87
"connec","merit",0.04,0,0.08,0.9
"redis_f","need",0.04,0,0.08,0.9
"prog_b","work",0.03,0,0.07,0.84
"people","relig",0.03,0,0.08,0.84
"ineq_p","sex",0.03,0,0.08,0.82
"prog_b","connec",0.03,0,0.07,0.82
"redis_d","connec",0.03,0,0.07,0.84
"redis_f","edupar",0.03,0,0.07,0.9
"ineq_p","need",0.03,0,0.06,0.88
"reg_p","relig",0.03,0,0.07,0.81
"family","edu",0.03,0,0.06,0.83
"work","redis_p",0.03,0,0.08,0.82
"reg_p","need",0.03,0,0.08,0.83
"family","work",0.03,0,0.07,0.86
"redis_p","need",0.02,-0.01,0.06,0.81
"people","need",0.02,-0.01,0.06,0.83
"ineq_p","redis_p",0,-0.04,0.05,0.83
